,ts,loc_id,item_id,user_id,is_clk
0,0,2,2,8,0
1,1,3,8,10,0
2,2,4,2,9,1
3,3,3,8,6,1
4,4,3,4,6,0
5,5,3,4,2,0
6,6,2,9,4,0
7,7,3,6,0,0
8,8,4,8,6,1
9,9,1,0,0,0
10,10,0,9,7,1
11,11,2,3,5,0
12,12,3,0,8,0
13,13,2,9,8,0
14,14,0,2,4,1
15,15,0,4,11,1
16,16,4,1,2,1
17,17,0,2,10,1
18,18,1,5,1,0
19,19,3,5,10,0
20,20,3,2,5,0
21,21,1,9,10,1
22,22,1,9,9,1
23,23,3,8,7,0
24,24,3,6,4,0
25,25,3,6,7,1
26,26,2,1,2,1
27,27,2,0,10,0
28,28,4,2,0,0
29,29,0,6,10,1
30,30,2,0,10,0
31,31,1,3,6,1
32,32,4,0,8,1
33,33,3,9,8,1
34,34,0,6,11,1
35,35,1,1,10,1
36,36,4,7,0,1
37,37,1,1,7,1
38,38,0,7,1,1
39,39,2,0,3,1
40,40,0,6,5,0
41,41,4,5,8,1
42,42,4,8,11,0
43,43,2,3,7,1
44,44,4,1,1,1
45,45,0,0,8,0
46,46,3,1,2,0
47,47,2,8,0,0
48,48,2,2,2,1
49,49,3,3,0,1
50,50,0,4,7,0
51,51,2,2,8,0
52,52,2,9,10,1
53,53,4,7,3,1
54,54,4,1,9,0
55,55,1,9,1,0
56,56,2,8,3,0
57,57,2,3,4,0
58,58,2,5,0,0
59,59,4,4,6,1
60,60,1,1,2,1
61,61,2,7,11,0
62,62,4,5,8,0
63,63,4,6,2,0
64,64,2,7,8,0
65,65,2,4,2,1
66,66,0,7,9,1
67,67,0,3,5,1
68,68,0,2,1,1
69,69,1,9,5,0
70,70,4,5,3,1
71,71,4,9,7,0
72,72,4,2,4,1
73,73,4,4,3,1
74,74,1,7,8,0
75,75,0,7,3,1
76,76,3,3,10,1
77,77,0,6,9,0
78,78,2,7,4,1
79,79,2,6,7,1
80,80,3,0,8,1
81,81,2,6,6,1
82,82,2,2,10,0
83,83,0,2,11,1
84,84,0,6,5,1
85,85,3,4,3,0
86,86,3,2,7,0
87,87,0,8,1,1
88,88,2,7,9,0
89,89,3,3,4,0
